step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,GS_cluster_357187_359543_stopped,GS_cluster_357187_359543_accumulated_waiting_time,GS_cluster_357187_359543_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
25200.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25205.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
25210.0,0,0.0,0.0,6.1772345208795745,0,0.0,0.5470058370484405,0,0.0
25215.0,1,1.0,0.3333333333333333,6.0889490439561165,1,1.0,0.22536113719170625,1,1.0
25220.0,0,0.0,0.0,6.191655473771105,0,0.0,0.23654728867966532,0,0.0
25225.0,1,0.0,0.0,9.54746937600085,1,0.0,0.5329256982482864,1,0.0
25230.0,0,0.0,0.0,12.55065850377224,0,0.0,0.8914777080090451,0,0.0
25235.0,0,0.0,0.0,10.371227166145692,0,0.0,0.6159734028443011,0,0.0
25240.0,1,4.0,0.6666666666666666,9.245679838122463,1,4.0,0.716999535566419,1,4.0
25245.0,1,9.0,1.125,9.797065059488288,1,9.0,0.6372654625834848,1,9.0
25250.0,2,15.0,1.5,8.919697357941937,2,15.0,0.5098632706592179,2,15.0
25255.0,1,0.0,0.0,8.27560126719929,1,4.0,0.426724917107127,1,4.0
25260.0,4,7.0,0.5384615384615384,8.951303516401127,2,3.0,0.4868114730487955,2,3.0
25265.0,3,22.0,2.0,8.20786245816531,1,8.0,0.37666400398075367,1,8.0
25270.0,1,1.0,0.09090909090909091,7.232659501055156,1,3.0,0.32948601734333993,1,3.0
25275.0,2,7.0,0.5833333333333334,7.6520836760906255,2,7.0,0.2924002903663399,2,7.0
25280.0,0,0.0,0.0,6.58129613323489,0,2.0,0.41074315495153363,0,2.0
25285.0,1,0.0,0.0,10.469720688264593,0,1.0,0.6313160686398177,0,1.0
25290.0,1,0.0,0.0,10.988129503177815,1,1.0,0.6057412588843074,1,1.0
25295.0,4,6.0,0.3333333333333333,6.760672460625126,4,7.0,0.4558479075134887,4,7.0
25300.0,1,0.0,0.0,8.385554971146565,1,3.0,0.578951949295338,1,3.0
25305.0,1,0.0,0.0,10.304851633229083,1,1.0,0.6182902300225127,1,1.0
25310.0,1,0.0,0.0,8.956849494935607,1,2.0,0.595444143698339,1,2.0
25315.0,2,5.0,0.21739130434782608,10.073833350211284,2,6.0,0.5851244931871231,2,6.0
25320.0,2,2.0,0.1,7.627751124600103,2,6.0,0.49852262286373017,2,6.0
25325.0,5,17.0,0.7391304347826086,8.632417616472418,4,18.0,0.4754675346009171,4,18.0
